Creditor Name,Address Line 1,Address Line 2,Address Line 3,City,State,Zip,Contact,Phone,Fax,Consideration,Last Updated
1st Source Advantage LLC,205 Bryantwoods,,,Amherst,NY,14228,,,,,03/07/2023
1stprogress/Tsys/Vt,PO Box 9053,,,Johnson City,TN,37615,,,,,05/14/2025
2017-1 IH Borrower LP,"1121 West Warner Road, Suite 110",,,Tempe,AZ,85284,,,,,10/07/2024
2018-1 IH Borrower LP | Inovation Homes,"1121 W. Warner Rd., Suite 110",,,Tempe,AZ,85284,,,,,01/15/2021
2018-2 IH Borrower LP,Invitation Homes,1717 Main St Suite 2000,,Dallas,TX,75201,,,,,06/04/2025
206 Property Managment,"2825 Eastlake Ave. E., Ste 200",,,Seattle,WA,98102,,,,,05/18/2023
207 East Owner LLC,208 Meridian Avenue E. #F-201,,,Puyallup,WA,98371,,,,,03/30/2026
20th District Court | Dearborn Heights,Re Case #:,25637 Michigan Ave,,Dearborn Heights,MI,48125,,,,,12/05/2023
24 Hour Fitness,111 S 38th St,,,Tacoma,WA,98418,,,,,11/07/2025
3 Day Blinds,167 Technology,,,Irvine,CA,92618,,,,,03/14/2023
3-D Financial Services,PO BOX 369,,,McLoud,OK,74851,,,,,04/19/2021
303 Emergency Physicians PLLC,"c/o Radius Global Solutions, LLC",P.O. Box 390915,,Minneapolis,MN,55436-0915,,,,,10/16/2024
"303 Emergency Physicians, PLLC",Attn: Bankruptcy,PO Box 98802,,Las Vegas,NV,89193,,,,,03/16/2022
3101 N. Central LLC,Attn: Billing | Bankruptcy,PO Box 4737,,Houston,TX,77210,,,,,01/20/2021
360 Property Management,471 SE Pioneer Way,,,Oak Harbor,WA,98277,,,,,04/21/2025
"3919 I Street, LLC",1000 W. 14th Street #A,,,Vancouver,WA,98660,,,,,02/26/2026
3M Auto Sales,1103 N. Laurel Ave.,,,Phoenix,AZ,85007,,,,,07/14/2021
"3M7, LLC",c/o Schweet Linde & Rosenblum,575 S. Michigan St.,,Seattle,WA,98108,,,,,05/26/2023
3rd Ave. SP LLC,2300 W. San Angelo St.,,,Gilbert,AZ,85233,,,,,08/24/2023
4 Degrees Real Estate,915 W. 2nd Ave.,,,Spokane,WA,99201,,,,,02/14/2023
4 Patriots,Suite 300,2920 Berry Hill Dr.,,Nashville,TN,37204,,,,,11/10/2022
4 Seasons Auto Sales,1865 East Red Hills Pkwy,,,Saint George,UT,84770,,,,,10/03/2023
410 Dental Associates,16202 64th St. E. Suite 101,,,Sumner,WA,98390,,,,,08/23/2022
454 West Brown Apartments,454 W. Brown Rd.,,,Mesa,AZ,85201,,,,,03/26/2020
4C Medical Group PLC,9590 E Ironwood Square Dr. #125,,,Scottsdale,AZ,85258,,,,,03/16/2020
"4C MSO, LLC",9590 E. Ironwood Sq. Dr. Ste 125,,,Scottsdale,AZ,85258,,,,,01/12/2021
55th Avenue Apts LLC,3323 E. 55th Unit #342,,,Spokane,WA,99223,,,,,02/18/2026
5th Judicial District Court,"206 West Tabernacle,",Suite 100,,Saint George,UT,84770,,,,,01/27/2022
60 on Roger - Valley Income Properties,315 South 48th st. Ste. 101,,,Tempe,AZ,85281,,,,,08/25/2025
"6601 Convoy Ct., LLC",Attn: Bankruptcy,"530 B Street, Suite 2050",,San Diego,CA,92101,,,,,03/25/2022
6801 S. Cimarron Rd,Suite 424-J,,,Las Vegas,NV,89113,,,,,01/31/2022
709 E 34 St Apartments,709E 34th St #3-A,,,Tacoma,WA,98404,,,,,07/21/2025
7493 N Oracle Rd Ste 115,7493 N Oracle Rd Ste 115,,,Tucson,AZ,85704,,,,,12/14/2022
77 Central,"2630 77th Ave. SE, Ste. 100",,,Mercer Island,WA,98040,,,,,03/21/2024
8 to 8 Dental,220 Broadway E,,,Seattle,WA,98102,,,,,01/09/2024
808 Loanmart / CCB,Attn Bankruptcy,PO Box 8075,,Van Nuys,CA,91409,,,,,12/01/2022
91 Express Lanes,PO Box 68039,,,Anaheim,CA,92817,,,,,11/10/2021
911 Restoration West Valley,23439 N 35th Dr. Suite 5,,,Glendale,AZ,85310,,,,,03/23/2021
9240 Apartment,E Redfield Rd,,,Scottsdale,AZ,85260,,,,,04/24/2026
950 Credit Inc.,3110 N Central Ave. Suite,D-160 #142,,Phoenix,AZ,85012,,480-360-6736,,,05/29/2025
A & E Consulting,12585 W Amelia Ave,,,Avondale,AZ,85392,,,,,11/12/2025
A Advanced Septic,1602 W. Valley Hwy S,,,Auburn,WA,98001,,,,,05/31/2023
A Family Storage,8950 E Speedway Blvd Unit O-17B,,,Tucson,AZ,85710,,,,,10/10/2022
A Pitstop Garage,6713 W Belmont Ave,,,Glendale,AZ,85303,,,,,11/18/2025
"A Plus Management II, LLC",Attn: Bankruptcy,"13940 W. Meeker Blvd., #115-125",,Sun City West,AZ,85375,,,,,08/04/2021
A Professional Service Corpora,30640 Pacific Hwy South Suite,,,Federal Way,WA,98003,,,,,05/23/2023
A Speedy Cash Car Title Loans LLC,25823 N 101st Ave,,,Peoria,AZ,85385,,,,,05/17/2022
"A speedy Cash Car Title Loans, LLC",3520 E. Bell Rd.,,,Phoenix,AZ,85032,,,,,08/17/2020
"A speedy Cash Car Title Loans, LLC",Attn: Customer Relations,PO Box 780408,,Wichita,KS,67278,,,,,11/10/2020
A Street Dental,"902 A Street, Ste. A",,,Auburn,WA,98002,,,,,10/27/2023
A Street Storage & Mobile Home,1175 A St SE,Mobile Home #10,,Ephrata,WA,98823,,,,,08/26/2025
"A Thryv, Inc",P.O. Box 619810,,,Dallas,TX,75261,,,,,04/05/2024
A-1 Collection Agency,"715 Horizon Drive, Suite 401",,,Grand Junction,CO,81506,,970-241-2075,,,01/24/2023
A-1 Self Storage,1230 Warner St.,,,Sedro Woolley,WA,98284,,,,,06/19/2024
"A-A1 Buy Here - Pay Here, Inc",9432 N. Cave Creek Rd.,,,Phoenix,AZ,85020,,,,,02/10/2021
A-L Financial,"7250 N. 16th St., Suite 400",,,Phoenix,AZ,85020,,,,,10/24/2019
A-M Systems,Attn: Bankruptcy,131 Business Park Loop,,Sequim,WA,98382,,,,,11/10/2021
A. Nicholas Rizzo MD PLLC,P.O. Box 785,,,Lake Havasu City,AZ,86405,,,,,09/23/2025
"A.A.A.A., Inc.","C/O Meyler Legal, PLLC.",2241 152nd Ave NE.,,Redmond,WA,98052,,,,,09/12/2023
A.C.E Rents,501 Broadway #505,,,Millbrae,CA,94030,,,,,05/19/2025
"A.G Adjustments, LTD",740 Walt Whitman Rd,,,Melville,NY,11747,,,,,05/25/2023
A.R.M. Solutions,PO Box 2929,,,Camarillo,CA,93011,,,,,07/08/2022
A1 Collection Agency LLC,715 Horizon Dr.,,,Grand Junction,CO,81506,,,,,02/01/2023
AA Recovery Solutions Inc.,25 N Pointe Pkwy Suite,,,Buffalo,NY,14228,,,,,01/31/2023
AAA Auto Title Loans,dba CASH1,1405 W. Southern Ave.,,Tempe,AZ,85282,,,,,12/18/2020
AAA AUTO TITLE LOANS DBA CASH 1,4355 E UNIVERSITY DR STE 111,,,Mesa,AZ,85205,,,,,07/23/2020
"AAA Auto Title Loans, DBA Cash 1","4355 E University Drive, Suite 111",,,Mesa,AZ,85205,,,,,04/28/2022
"AAA Auto Title Loans, LLC dba Cash 1",4355 E University Drive Suite 111,,,Mesa,AZ,85205,,,,,12/09/2021
"AAA Auto Title Loans, LLC DBA Cash 1","725 E Covey Lane, Suite 170",,,Phoenix,AZ,85024,,,,,10/13/2021
"AAA Auto Title Loans, LLC dba Cash 1",c/o Marty G. Baker,"725 E. Covey Lane, Suite 170",,Phoenix,AZ,85024,,,,,05/27/2025
"AAA Auto Title Loans, LLC, dba CASH 1","725 East Covey Lane, Suite 170",,,Phoenix,AZ,85024,,,,,05/29/2020
AAA Financial Services,PO BOX 851001,,,Bothell,WA,98012,,,,,03/16/2022
AAA Fort Storage,255 W Kayetan Dr,,,Sierra Vista,AZ,85635,,,,,03/04/2026
AAA Professional Medical Billing,PO Box 2510,,,Mesa,AZ,85214,,,,,10/23/2019
AAAA INC.,2241 152nd Ave NE,,,Redmond,WA,98052,,,,,06/17/2025
AAdvantage Barclays Bank,PO Box 13337,,,Philadelphia,PA,19101,,,,,11/17/2025
AAFES,Attn: Bankruptcy,Po Box 650060,,Dallas,TX,75265,,,,,09/30/2022
AAFES,ATTN:FA-T/C,PO BOX 660056,,Dallas,TX,75266-0056,,,,,04/15/2022
AAFES,3911 S. Walton Walker Blvd,,,Dallas,TX,75236,,,,,03/03/2022
AAFES/MILITARY STAR,3911 S Walton Walker Blvd,,,Dallas,TX,75236,,,,,07/08/2025
AAG,PO Box 40724,,,Lansing,MI,48901,,,,,09/21/2021
AAI,8668 Spring Mountain Rd. #110,,,Las Vegas,NV,89117,,,,,07/17/2021
AAM LLC,c/o AAM LLC,"1600 W. Broadway Rd., Ste. 200",,Tempe,AZ,85282,,,,,04/01/2020
Aaron and Nohnie Simonsen,9207 Northfarmdale St.,,,Spokane,WA,99208,,,,,11/24/2025
Aaron Collings,14350 271st Cir NE,,,Duvall,WA,98019,,,,,04/22/2026
Aaron McLellan,12550 SE 93rd Avenue Suite 430,,,Clackamas,OR,97015,,,,,02/05/2025
Aaron Ridge Apartments,900 Aaron Drive 234,,,Richland,WA,99352,,,,,08/08/2025
Aaron's,"918 W. Irvington Road, Ste. 190",,,Tucson,AZ,85714,,,,,09/03/2024
Aaron's,11505 NE Fourth Plain Rd,Suite E,,Vancouver,WA,98662,,,,,04/20/2022
Aaron's,11505 NE Fourth Plain Rd.,Suite E,,Vancouver,WA,98662,,,,,04/20/2022
Aaron's -C1270,6175 S 35th Ave.,,,Phoenix,AZ,85041,,,,,10/15/2020
Aaron's Funiture,1534 Birchwood Ave. Ste A,,,Bellingham,WA,98225,,,,,07/26/2021
Aaron's Inc.,Attn: Bankruptcy,PO Box 102746,,Atlanta,GA,30368,,,,,11/18/2020
Aaron's LLC,9714 Pacific Ave,,,Tacoma,WA,98444,,,,,02/10/2026
Aaron's LLC,7601 Evergreen Way Suite C1,,,Everett,WA,98203,,,,,03/17/2025
Aaron's Sales and Lease Ownership,2705 Auburn Way N,,,Auburn,WA,98002,,,,,08/25/2021
"Aaron's, LLC",7810N Division St Ste A,,,Spokane,WA,99208,,,,,12/10/2025
"Aaron's, LLC",1212 E. Wishkah St.,,,Aberdeen,WA,98520,,,,,11/09/2023
"Aaron's, LLC",1345 Auburn Way N,,,Auburn,WA,98002,,,,,12/28/2023
Aarons,"1818 W. Bell Road, Unit 110",,,Phoenix,AZ,85023,,,,,01/30/2025
Aarons Furniture Attn: Legal,400 Galleria Pkwy,,,Atlanta,GA,30339,,,,,10/24/2019
"Aarons, LLC",3611 E. Sprague Ave.,,,Spokane,WA,99202,,,,,12/05/2024
Abacus Credit Counseling,17337 Ventura Boulevard,#205,,Encino,CA,91316,,,,,01/13/2020
Abazo West Campus,PO BOX 1259,,,Oaks,PA,19456,,,,,06/26/2025
Abbey Realty,4621 Lacey Blvd SE,,,Lacey,WA,98503,,,,,03/31/2022
Abbot Neurosurgical Associates,Attn: Billing | Bankruptcy,913 E 26th St,,Minneapolis,MN,55404,,,,,03/19/2021
ABC Ambulance,3118 E McDowell Rd,,,Phoenix,AZ,85008,,,,,08/09/2022
ABC Anesthesiologists PLC II,Attn: Billing | Bankruptcy,3857 E Aloe Pl,,Chandler,AZ,85286,,,,,05/20/2021
ABC Childrens Eye Specialists,1010 E McDowell #301,,,Phoenix,AZ,85006,,,,,05/24/2022
"ABC Finance Company, Inc.",6740 N. Oracle Rd. #120,,,Tucson,AZ,85704,,,,,11/30/2020
ABC Supply Co - MBA #739,P.O. Box 840899,,,Dallas,TX,75284-0899,,,,,01/05/2026
ABC Supply Company,"1 ABC Parkway,",,,Beloit,WI,53511,,,,,07/15/2019
Abdirezak Isse,c/o Daniel R. Whitmore,"6840 Fort Dent Way, Suite 210",,Seattle,WA,98188,,,,,02/12/2026
Abdominal Surgeon Ltd,"1310 N 24th St., Suite 200",,,Phoenix,AZ,85008-4617,,,,,10/17/2023
Abigail Robinson,1914 196th St Ct E,,,Spanaway,WA,98387,,,,,03/28/2024
Abigail Sanchez,6303 W. Beloit Rd.,,,Milwaukee,WI,53219,,,,,02/07/2024
Ability Recovery Services LLC,PO Box 4262,,,Scranton,PA,18505,,,,,03/18/2020
"ABILITY RECOVERY SERVICES, LLC",PO BOX 4031,,,Wyoming,PA,18644,,,,,03/19/2025
Abrazo Arizona Heart Hospital,Attn: Billing | Bankruptcy,PO Box 745818,,Los Angeles,CA,90074,,,,,05/20/2021
Abrazo Arrowhead Campus,PO Box 745823,,,Los Angeles,CA,90074,,,,,01/13/2025
Abrazo Arrowhead Campus,18701 N 67th Ave,,,Glendale,AZ,85308,,,,,03/02/2020
Abrazo Arrowhead Campus,Dept 148905,Po Box 1259,,Glendale,AZ,85308,,,,,01/04/2023
Abrazo Arrowhead Campus,P.O. Box 745823,,,Los Angeles,CA,90074,,,,,11/04/2024
Abrazo Buckeye ER,525 S Watson Rd.,,,Buckeye,AZ,85326,,,,,12/09/2020
Abrazo Central Campus,Attn: Bankruptcy,PO Box 745855,,Los Angeles,CA,90074,,,,,04/28/2021
Abrazo Medical Group,Attn: Bankruptcy,8620 N. 22nd Ave.,,Phoenix,AZ,85021,,,,,09/17/2020
Abrazo Mesa Hospital,PO Box 745855,,,Los Angeles,CA,90074,,,,,04/25/2022
Abrazo Peoria Emergency Center,26900 N Lake Pleasant Pkwy,,,Peoria,AZ,85383,,,,,02/28/2024
Abrazo Scottsdale Campus,3929 E Bell Rd,,,Phoenix,AZ,85032,,,,,02/05/2021
Abrazo Surprise Hospital,Attn: Bankruptcy,PO Box 745823,,Los Angeles,CA,90074,,,,,09/08/2021
Abrazos Scottsdale,"3929 E. Bell Rd,",,,Phoenix,AZ,85032,,,,,03/24/2026
Absolute Bail Bonds,45100 Yucca Ave,,,Lancaster,CA,93534,,,,,03/07/2022
Absolute Resolution,800 Norman Center Dr.,#350,,Minneapolis,MN,55437,,,,,08/15/2024
Absolute Resolutions Investiments LLC,C/O Johnson Mark LLC,"1601 N. 7th Street, Suite 250",,Phoenix,AZ,85006,,,,,02/09/2023
Absolute Resolutions Investments,Attn: Bankruptcy,20830 N. Tatum Blvd; Ste #115,,Phoenix,AZ,85050,,,,,09/29/2020
"Absolute Resolutions Investments, LLC",C/O Gurstel Law Firm,9320 East Raintree Drive,,Scottsdale,AZ,85260,,,,,01/10/2024
"Absolute Resolutions Investments, LLC",C/O Johnson Mark LLC,P.O. Box 7811,,Sandy,UT,84091,,,,,01/10/2024
ABT Towing,33125 15th Ave S,,,Federal Way,WA,98003,,,,,12/15/2022
Acacia Pointe LLC,8344 Noth 67th Ave,,,Glendale,AZ,85302,,,,,04/29/2022
Academic Urology,9250 W Thomas Rd.,,,Phoenix,AZ,85037-3382,,,,,04/29/2025
Academic Urology & Urogynecology of AZ,13802 W. Meeker Blvd,,,Sun City West,AZ,85375,,,,,10/25/2021
"ACAZ, LLC","c/o Zachary D. Giammarco, Esq.","3910 S. Alma School Rd., Suite 5",,Chandler,AZ,85248,,,,,02/10/2021
Accelerated Collection,1209 Central Ave S,#210,,Kent,WA,98032,,,,,02/10/2022
Accelerated Collection Serv.,"1209 Central Ave S, Ste. 210",,,Kent,WA,98032-7436,,,,,03/16/2022
Accelerated collection service,"1209 Central Ave. S, #210",,,Kent,WA,98032,,,,,08/08/2024
Accelerated Inventory Mgmt LLC,c/o Bass & Associates PC,3936 E. Ft. Lowell,,Tucson,AZ,85712,,,,,03/05/2024
Acceptance Now,7430 W. Bell Rd.,,,Glendale,AZ,85308,,,,,09/18/2023
AcceptanceNow,5735 W. Bell Rd.,,,Glendale,AZ,85308,,,,,06/25/2020
Access Receivables Management,PO Box 1377,,,Cockeysville,MD,21030-6377,,,,,01/10/2024
Account Control Technology,Dept 544,PO Box 4115,,Concord,CA,94524,,,,,08/18/2020
Account Recovery Services Inc,PO Box 7648,,,Goodyear,AZ,85338,,,,,11/15/2021
Account Resolution Service,P.O. Box 459079,,,Pompano Beach,FL,33075,,,,,10/20/2023
Account Services,"1802 NE Loop 410, Ste. 400",,,San Antonio,TX,78217,,,,,09/27/2021
Accounting Department,PO Box 7548,,,Springfield,OR,97475,,,,,07/08/2021
ACCOUNTS RECEIVABLE INC,Suite 5,4001 MAIN ST,,Vancouver,WA,98663,,,,,02/14/2024
Accredo Express Scripts,1640 Century Center Parkway,,,Seattle,WA,98134,,,,,01/08/2024
Accredo Health Group,Attn: Bankruptcy,PO Box 954041,,Saint Louis,MO,63195,,,,,11/02/2020
Accredo | Attn: Bankruptcy,"Suite A, Department 650",4750 E. 450 S.,,Whitestown,IN,46075,,,,,04/11/2025
Accurate Urology,PO Box 51659,,,Mesa,AZ,85208-1659,,,,,08/12/2022
Ace Cash Advance,"1231 Greenway Dr, Ste. 600",,,Irving,TX,75038,,,,,01/24/2022
Ace Cash Express,2831 N. 16th St.,,,Phoenix,AZ,85006,,,,,05/24/2025
Ace Cash Express,1750 South Rural Road,,,Tempe,AZ,85281,,,,,07/15/2025
Ace Cash Express,"300 E. John Carpenter Fwy,","Ste. 900 Irving, TX 75062",,Irving,TX,75062,,,,,01/12/2022
Ace Cash Express,850 E. Fort Lowell Road,,,Tucson,AZ,85719,,,,,09/24/2019
Ace Cash Express,758 S Alma School Rd Unit 412,,,Mesa,AZ,85210,,,,,11/13/2019
Ace Cash Express,"c/o Populus Financial Group, Inc.",760 N Country Club Dr,,Mesa,AZ,85201-4911,,,,,05/18/2020
Ace Cash Express,1851 E Baseline Rd,Ste 102,,Gilbert,AZ,85233,,,,,12/29/2021
ACE Cash Express,"1971 Highway 95, Bldg B, Ste 1",,,Bullhead City,AZ,86442,,,,,10/04/2023
Ace Cash Express,300 E. John Carpenter Fwy.,Ste. 900,,Irving,TX,75062,,,,,09/05/2023
Ace Cash Financial,4121 S. Meridian,,,Puyallup,WA,98373,,,,,01/12/2023
Ace Hardware,4550 Stockton HIll Road,,,Kingman,AZ,86409,,,,,09/11/2023
Ace Health and Wellness,14815 N Del Webb Blvd,,,Sun City,AZ,85351,,,,,01/13/2025
Acero Estrella Parkway LLC,15380 W. Fillmore Street,,,Goodyear,AZ,85338,,480-372-4499,,,10/16/2025
Achebe MD PS,2103 Harrison Ave. NW #2616,,,Olympia,WA,98502,,,,,01/30/2023
Achieve Personal Loans,Attn: Bankruptcy,PO Box 2340,,Phoenix,AZ,85002,,,,,01/24/2023
ACHO/DBA Valley Urologic Assoc,"13555 W. McDowell Rd., Suite 304",,,Goodyear,AZ,85395,,,,,02/09/2021
ACI Worlwide,6060 Coventry Drive,,,Elkhorn,NE,68022-6482,,,,,11/06/2024
Acima,5501 Headquarters Drive,,,Plano,TX,75024,,,,,04/18/2025
Acima Credit,Attn: Bankruptcy,PO Box 1667,,Draper,UT,84020,,,,,01/04/2021
Acima Digital Fka Simp,5th Floor,13907 Minuteman Dr,,Draper,UT,84020,,,,,09/24/2024
Acima Digital LLC,4916 Center St.,,,Tacoma,WA,98409,,,,,01/08/2025
Acme Finance Co. Inc.,10000 Aurora Ave. N Ste. 312,,,Seattle,WA,98133-9346,,,,,03/24/2023
Acme Financi Co. Inc.,10000 Aurora Ave. N Ste. 312,,,Seattle,WA,98133-9346,,,,,03/24/2023
ACMIA Leasing,13907 Minuteman Dr 5th Floor,,,Draper,UT,84020,,,,,05/02/2023
Acorn Servicing,P.O. Box 12099,,,Santa Rosa,CA,95401,,,,,03/18/2025
ACP,5055 E. Broadway,Suite A-100,,Tucson,AZ,85711,,,,,06/13/2024
"ACP Properties, LLC",P.O. Box 29701,,,Bellingham,WA,98228,,,,,02/18/2025
ACS Financial,PO BOX 217,,,Bothell,WA,98041,,,,,02/10/2022
ACS/NAVIENT,501 BLEECKER ST.,,,Utica,NY,13501-2498,,,,,03/18/2026
Action Collection Agency,16 Commerce Blvd. Ste. 4,,,Middleboro,MA,02346,,,,,08/12/2022
Action Collection Agency of Boston,PO Box 902,,,Middleboro,MA,02346-0902,,,,,07/05/2023
Action Collection Services,6148 N Discovery Way,STE 100,,Boise,ID,83713,,,,,08/21/2025
Action Collectors Inc,PO Box 2365,,,Yakima,WA,98907,,,,,06/03/2022
Action Collectors Inc.,115 S 7th Ave.,,,Yakima,WA,98902,,,,,04/08/2026
Action Financial LLC,9812 N 7th St. #6,,,Phoenix,AZ,85020,,,,,08/26/2020
Actionlocal,625 N. 4th St.,,,Mount Vernon,WA,98273,,,,,10/21/2024
Acts of Kindness Pediatrics,PO Box 14099,,,Belfast,ME,04915,,,,,07/17/2021
Acuity,"c/o Kohner Mann & Kailas, S.C.",1040 Hillside Dr.,,Kingman,AZ,86409,,,,,08/14/2023
Acura Financial Services,PO Box 168128,,,Irving,TX,75016,,,,,09/04/2025
Acura Luxury Lease,7800 S Autoplex Loop,,,Tempe,AZ,85284,,,,,11/29/2023
Ad Astra Recovery,7330 W. 33rd Street N Ste 118,,,Wichita,KS,67205,,,,,08/20/2019
AD Astra Recovery Services Inc.,8918 W 21 Street N,Suite 200 PMB 303,,Wichita,KS,67205-1880,,,,,10/20/2020
Adam Burke,"c/o Holcolm Law Firm, PC",3370 N Hayden Rd #123-682,,Scottsdale,AZ,85251,,,,,09/22/2020
Adam Campbell,4310 S. 73rd St.,,,Tacoma,WA,98409,,,,,05/09/2024
Adams & Adams Law,2626 North Pearl St,,,Tacoma,WA,98407,,,,,03/14/2022
Adams County District Court,RE: Case No.,210 W Broadway Ave Ste 305,,Ritzville,WA,99169,,,,,10/22/2025
Adams Refrigeration,1824 N 35th Ave.,,,Phoenix,AZ,85009,,,,,08/11/2025
Adan Bucio Gonzales,3001 S 288th St #116,,,Federal Way,WA,98003,,,,,06/11/2025
Adance Financial CCFlow Bank,100 Oceanside Drive,,,Nashville,TN,37204,,,,,05/24/2025
Adapt Health,P.O. Box 748850,,,Los Angeles,CA,90074,,,,,06/13/2024
Adavanced Heated Storage,600 Fisher Lane,,,Burlington,WA,98233,,,,,12/08/2025
Addison Apartments at the Park,3820 Spring Valley Road #1504,,,Addison,TX,75001,,,,,05/15/2025
Addition Finace,P.O. Box 5198,,,Tallahassee,FL,32314,,,,,01/29/2026
Adelante Healthcare,PO Box 205449,,,Dallas,TX,75320-5449,,,,,11/15/2021
ADHS Newborn Screening Program,PO Box 11088,,,Chattanooga,TN,37401,,,,,05/24/2022
Adler Wallach and Associates,204 North Main Street Suite 16,,,Dickson,TN,37055,,,,,09/26/2025
"Admin Recovery, LLC","6225 Sheridan Drive, Suite 118",,,Buffalo,NY,14221,,,,,04/15/2024
Adobe,345 Park Ave,,,San Jose,CA,95110,,,,,05/27/2025
Adolfo Villar,7233 S. Perth way,,,Aurora,CO,80016,,,,,04/11/2023
ADOT,"PO Box 2100, MD 555M",,,Phoenix,AZ,85001,,,,,06/03/2020
Adrian Ortiz,101 Wilson Creek Rd #22,,,Ellensburg,WA,98926,,,,,02/11/2023
Adrianna Paitel,"115 Bloomington Ave, Apt A211",,,Bremerton,WA,98312,,,,,12/10/2025
Adrienne Taylor,6249 E Covina Stt,,,Mesa,AZ,85205,,,,,11/11/2020
Adruan Alvarez,"2529 W. Cactus Rd., Apt. 2146",,,Phoenix,AZ,85029,,,,,05/02/2025
ADS/COMENITY/MYPOINTSRWD,PO BOX 182120,,,Columbus,OH,43218,,,,,02/10/2026
ADS/COMENITY/MYSMLCARE,PO Box 182120,,,Columbus,OH,43218,,,,,09/15/2025
ADS/COMENITY/NY&CO,PO Bpx 18120,,,Columbus,OH,43218,,,,,02/10/2026
ADS/COMENITY/ULTA,PO Box 182120,,,Columbus,OH,43218,,,,,11/12/2025
ADS/Comenity/Ulta,PO Box 182120,,,Columbus,OH,43218,,,,,09/02/2025
ADS/COMENITY/VICTORIA,PO Box 182120,,,Columbus,OH,43218,,,,,02/11/2026
ADS/COMENITY/VICTORIA,PO BOX 182789,,,Columbus,OH,43218,,,,,05/08/2025
ADS/COMENITY/WAYFAIR,PO BOX 182789,,,Columbus,OH,43218,,,,,03/19/2026
ADT,452 Sable Blvd Unit G,,,Aurora,CO,80011,,,,,02/26/2025
ADT Security Services,1501 Yamato Road,,,Boca Raton,FL,33431,,,,,10/26/2020
ADT Security Services,"3750 Priority Way South Drive,",,,Indianapolis,IN,46240,,,,,12/08/2020
ADU Apartment,9617 NE. Dronawood Dr.,,,Kingston,WA,98346,,,,,03/29/2024
Advance America Cash Advance,135 North Church Street,,,Spartanburg,SC,29306,,,,,06/02/2022
Advance America Cash Advance,12109 Woodside Ave.,,,Lakeside,CA,92040,,,,,04/02/2024
Advance Capital Solutions,495 Arrow Drive,,,Buffalo,NY,14225,,,,,10/16/2020
Advance Cash,"c/o Make Cents, Inc.",PO Box 10,,Parshall,ND,58770,,,,,10/15/2020
Advance Financial,100 Oceanside Dr.,,,Nashville,TN,37204,,,,,01/22/2025
Advance Practice Surgical Assisting,1334 Heritage Pkwy,,,Wentzville,MO,63385,,,,,04/13/2022
Advanced America,PO Box 3058,,,Spartanburg,SC,29304,,,,,12/14/2022
Advanced Ankle and Foot,2915 E Baseline Rd.,,,Gilbert,AZ,85234,,,,,08/14/2023
Advanced Cash,2453 S. 4th Ave.,,,Yuma,AZ,85364,,,,,07/07/2023
Advanced Dermatology and Skin,PO Box 639882,,,Cincinnati,OH,45263-9882,,,,,02/07/2024
